age_nearest_birthday,male,female
0,0.001783,0.001801
1,0.000446,0.00045
2,0.000306,0.000287
3,0.000254,0.000199
4,0.000193,0.000152
5,0.000186,0.000139
6,0.000184,0.00013
7,0.000177,0.000122
8,0.000159,0.000105
9,0.000143,9.80E-05
10,0.000126,9.40E-05
11,0.000123,9.60E-05
12,0.000147,0.000105
13,0.000188,0.00012
14,0.000236,0.000146
15,0.000282,0.000174
16,0.000325,0.000199
17,0.000364,0.00022
18,0.000399,0.000234
19,0.00043,0.000245
20,0.000459,0.000253
21,0.000492,0.00026
22,0.000526,0.000266
23,0.000569,0.000272
24,0.000616,0.000275
25,0.000669,0.000277
26,0.000728,0.000284
27,0.000764,0.00029
28,0.000789,0.0003
29,0.000808,0.000313
30,0.000824,0.000333
31,0.000834,0.000357
32,0.000838,0.000375
33,0.000828,0.00039
34,0.000808,0.000405
35,0.000789,0.000424
36,0.000783,0.000447
37,0.0008,0.000476
38,0.000837,0.000514
39,0.000889,0.00056
40,0.000955,0.000613
41,0.001029,0.000667
42,0.00111,0.000723
43,0.001188,0.000774
44,0.001268,0.000823
45,0.001355,0.000866
46,0.001464,0.000917
47,0.001615,0.000983
48,0.001808,0.001072
49,0.002032,0.001168
50,0.002285,0.00129
51,0.002557,0.001453
52,0.002828,0.001622
53,0.003088,0.001792
54,0.003345,0.001972
55,0.003616,0.002166
56,0.003922,0.002393
57,0.004272,0.002666
58,0.004681,0.003
59,0.005146,0.003393
60,0.005662,0.003844
61,0.006237,0.004352
62,0.006854,0.004899
63,0.00751,0.005482
64,0.00822,0.006118
65,0.009007,0.006829
66,0.009497,0.007279
67,0.010085,0.007821
68,0.010787,0.008475
69,0.011625,0.009234
70,0.012619,0.010083
71,0.013798,0.011011
72,0.015195,0.01203
73,0.016834,0.013154
74,0.018733,0.014415
75,0.020905,0.015869
76,0.023367,0.017555
77,0.026155,0.0195
78,0.029306,0.021758
79,0.032858,0.024412
80,0.036927,0.027579
81,0.041703,0.031501
82,0.046957,0.036122
83,0.052713,0.041477
84,0.059148,0.047589
85,0.066505,0.054441
86,0.075015,0.061972
87,0.084823,0.070155
88,0.095987,0.078963
89,0.108482,0.088336
90,0.122214,0.098197
91,0.136799,0.108323
92,0.152409,0.119188
93,0.169078,0.131334
94,0.186882,0.145521
95,0.205844,0.162722
96,0.219247,0.18212
97,0.238612,0.199661
98,0.258341,0.217946
99,0.278219,0.236834
100,0.298452,0.256357
101,0.32361,0.283802
102,0.344191,0.304716
103,0.364633,0.325819
104,0.384783,0.346936
105,0.4,0.367898
106,0.4,0.387607
107,0.4,0.4
108,0.4,0.4
109,0.4,0.4
110,0.4,0.4
111,0.4,0.4
112,0.4,0.4
113,0.4,0.4
114,0.4,0.4
115,0.4,0.4
116,0.4,0.4
117,0.4,0.4
118,0.4,0.4
119,0.4,0.4
120,0.4,0.4
