age_nearest_birthday,male,female
0,0.01,0.01
1,0.01,0.01
2,0.01,0.01
3,0.01,0.01
4,0.01,0.01
5,0.01,0.01
6,0.01,0.01
7,0.01,0.01
8,0.01,0.01
9,0.01,0.01
10,0.01,0.01
11,0.01,0.01
12,0.01,0.01
13,0.01,0.01
14,0.01,0.01
15,0.01,0.01
16,0.01,0.01
17,0.01,0.01
18,0.01,0.01
19,0.01,0.01
20,0.01,0.01
21,0.01,0.01
22,0.01,0.01
23,0.01,0.01
24,0.01,0.01
25,0.01,0.01
26,0.01,0.01
27,0.01,0.01
28,0.01,0.01
29,0.01,0.01
30,0.01,0.01
31,0.01,0.01
32,0.01,0.01
33,0.01,0.01
34,0.01,0.01
35,0.01,0.01
36,0.01,0.01
37,0.01,0.01
38,0.01,0.01
39,0.01,0.01
40,0.01,0.01
41,0.01,0.01
42,0.01,0.01
43,0.01,0.01
44,0.01,0.01
45,0.01,0.01
46,0.01,0.01
47,0.01,0.01
48,0.01,0.01
49,0.01,0.01
50,0.01,0.01
51,0.011,0.01
52,0.011,0.011
53,0.012,0.011
54,0.012,0.011
55,0.013,0.012
56,0.013,0.012
57,0.014,0.012
58,0.014,0.012
59,0.015,0.013
60,0.015,0.013
61,0.015,0.013
62,0.015,0.013
63,0.015,0.013
64,0.015,0.013
65,0.015,0.013
66,0.015,0.013
67,0.015,0.013
68,0.015,0.013
69,0.015,0.013
70,0.015,0.013
71,0.015,0.013
72,0.015,0.013
73,0.015,0.013
74,0.015,0.013
75,0.015,0.013
76,0.015,0.013
77,0.015,0.013
78,0.015,0.013
79,0.015,0.013
80,0.015,0.013
81,0.014,0.012
82,0.013,0.012
83,0.013,0.011
84,0.012,0.01
85,0.011,0.01
86,0.01,0.009
87,0.009,0.008
88,0.009,0.007
89,0.008,0.007
90,0.007,0.006
91,0.007,0.006
92,0.006,0.005
93,0.005,0.005
94,0.005,0.004
95,0.004,0.004
96,0.004,0.004
97,0.003,0.003
98,0.003,0.003
99,0.002,0.002
100,0.002,0.002
101,0.002,0.002
102,0.001,0.001
103,0.001,0.001
104,0,0
105,0,0
